depmap_id,cell_line_display_name,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
ACH-001278,BIN67,5.11,,,,,
ACH-001048,COV504,1.18,3.235169738,0.201127186,1,0.572741085,21
ACH-000574,FUOV1,4.95,3.18830168,0.324193899,1,0.647895369,22
ACH-002140,HEY,1.99,4.029369078,0.108732357,1,0.46696118,17
ACH-000542,HEYA8,2.47,4.952542185,0.105353785,1,0.603646278,23
ACH-000116,OAW28,2.02,3.351561591,0.373871016,1,0.785221995,19
ACH-002181,OVCA420,3,2.801157461,0.363068982,1,0.683076308,28
ACH-002182,OVCA433,1,2.833126137,0.212501525,1,0.534353187,21
ACH-000617,OVCAR4,1.64,,,,,
ACH-001151,OVCAR5,2.11,2.741215177,0.339993519,1,0.716544283,27
ACH-000646,OVMANA,1.55,3.855129127,0.070900132,1,0.660949369,25
ACH-000409,OVSAHO,1.7,2.974134251,0.504911331,1,0.577675593,31
ACH-001630,PEO1,3.33,,,,,
ACH-001632,PEO4,2.46,1.908751265,0.26641595,0,0.394732671,13
ACH-000460,SNU8,3.5,,,,,
ACH-001403,TO14,3.76,2.913039,0.392346636,1,0.687716344,26
ACH-001628,PEA1,3.84,4.250293185,0.259008437,1,0.740316851,22
ACH-000256,COV318,2.11,3.949608138,0.174301465,1,0.735498384,29
ACH-000608,COV644,2.06,2.771919332,0.269725198,1,0.637355053,24
ACH-000123,COV434,2.32,2.283393041,0.016802631,0,0.024741506,0
ACH-000278,COV362,1.49,1.940238081,0.412103507,0,0.520909761,14
ACH-000704,OAW42,1.67,4.022671447,0.087160134,1,0.688950156,25
ACH-000657,A2780,17.36,,,,,
ACH-000091,OV56,1.32,,,,,
ACH-000688,OV7,1.35,,,,,
ACH-000885,TOV21G,72.58,,,,,
ACH-000048,TOV112D,1.94,4.146489339,0.524499177,1,0.551159335,30
ACH-000291,OV90,1.9,,,,,
ACH-001374,PA1,5.87,2.000757669,0.002038811,0,0.004843534,0
ACH-000906,ES2,1.4,,,,,
ACH-001418,UWB1289,3.56,,,,,
ACH-000696,OVCAR8,1.86,2.786754042,0.525485389,1,0.699655362,25
ACH-000001,NIHOVCAR3,1.67,3.806488173,0.17378935,1,0.649593858,23
ACH-000713,CAOV3,1.5,,,,,
ACH-000811,SKOV3,24.59,,,,,
ACH-000719,RMGI,1.88,,,,,
ACH-000701,RMUGS,1.86,1.765547421,0.245330054,0,0.384719159,14
ACH-000524,KURAMOCHI,2.39,4.183216695,0.21429811,1,0.746035619,29
ACH-000430,TYKNU,1.6,2.503746263,0.388541333,1,0.606238025,25
ACH-000796,MCAS,1.76,3.662899188,0.043277264,1,0.594806154,24
ACH-000527,OVISE,2.42,4.027711975,0.12396263,1,0.674705151,24
ACH-000443,OVKATE,1.81,2.068242859,0.331084386,0,0.524952348,17
ACH-000663,OVTOKO,1.83,3.35797187,0.124217818,1,0.517047361,21
ACH-002149,KGN,1.56,2.006581401,0.061230967,0,0.083134349,2
ACH-000324,JHOC5,2.83,,,,,
ACH-000132,JHOS2,0.44,3.772793783,0.341390088,1,0.65823684,18
ACH-000237,JHOM1,2.34,,,,,
ACH-000947,OVK18,81.33,,,,,
